PRISM Time Series Data,,,,,,
Locations: 292,,,,,,
"Climate variables: ppt,tmean",,,,,,
AW1,-73.2063,44.431,222,April,3.13,44.3
AW1,-73.2063,44.431,222,May,3.56,57.1
AW1,-73.2063,44.431,222,June,4.3,66.3
AW1,-73.2063,44.431,222,July,4.1,71.2
AW1,-73.2063,44.431,222,August,3.54,69.6
AW1,-73.2063,44.431,222,September,3.68,61.8
AW1,-73.2063,44.431,222,October,3.85,49.3
AW1,-73.2063,44.431,222,November,2.89,38.2
AW1,-73.2063,44.431,222,December,2.76,26.9
AW1,-73.2063,44.431,222,Annual,38.4,46.3
,,,,,,
NW02C,-73.0709,44.9207,184,January,2.62,17.6
NW02C,-73.0709,44.9207,184,February,2.16,19.8
NW02C,-73.0709,44.9207,184,March,2.64,29.5
NW02C,-73.0709,44.9207,184,April,3.28,43.5
NW02C,-73.0709,44.9207,184,May,3.78,56.8
NW02C,-73.0709,44.9207,184,June,4.33,65.7
NW02C,-73.0709,44.9207,184,July,4.21,70.5
NW02C,-73.0709,44.9207,184,August,4.03,68.8
NW02C,-73.0709,44.9207,184,September,3.75,61.3
NW02C,-73.0709,44.9207,184,October,4.1,48.9
NW02C,-73.0709,44.9207,184,November,3.09,37.2
NW02C,-73.0709,44.9207,184,December,3.06,25.7
NW02C,-73.0709,44.9207,184,Annual,41.05,45.4
,,,,,,
NW02T,-73.0818,44.9193,154,January,2.6,17.7
NW02T,-73.0818,44.9193,154,February,2.15,19.9
NW02T,-73.0818,44.9193,154,March,2.63,29.6
NW02T,-73.0818,44.9193,154,April,3.27,43.6
NW02T,-73.0818,44.9193,154,May,3.77,56.9
NW02T,-73.0818,44.9193,154,June,4.32,65.8
NW02T,-73.0818,44.9193,154,July,4.19,70.6
NW02T,-73.0818,44.9193,154,August,4.01,69
NW02T,-73.0818,44.9193,154,September,3.73,61.4
NW02T,-73.0818,44.9193,154,October,4.08,49
NW02T,-73.0818,44.9193,154,November,3.08,37.3
NW02T,-73.0818,44.9193,154,December,3.04,25.9
NW02T,-73.0818,44.9193,154,Annual,40.86,45.6
,,,,,,
NW08C,-72.803,44.8395,564,January,2.71,16.4
NW08C,-72.803,44.8395,564,February,2.26,18.6
NW08C,-72.803,44.8395,564,March,2.97,28.3
NW08C,-72.803,44.8395,564,April,3.5,42.4
NW08C,-72.803,44.8395,564,May,4.08,55.3
NW08C,-72.803,44.8395,564,June,4.53,64
NW08C,-72.803,44.8395,564,July,4.71,68.6
NW08C,-72.803,44.8395,564,August,4.46,67.1
NW08C,-72.803,44.8395,564,September,4.24,59.7
NW08C,-72.803,44.8395,564,October,4.52,47.7
NW08C,-72.803,44.8395,564,November,3.4,36.1
NW08C,-72.803,44.8395,564,December,3.45,24.3
NW08C,-72.803,44.8395,564,Annual,44.84,44
,,,,,,
NW08T,-72.8037,44.8303,610,January,2.77,16.4
NW08T,-72.8037,44.8303,610,February,2.31,18.6
NW08T,-72.8037,44.8303,610,March,3.04,28.2
NW08T,-72.8037,44.8303,610,April,3.56,42.3
NW08T,-72.8037,44.8303,610,May,4.13,55.2
NW08T,-72.8037,44.8303,610,June,4.58,63.9
NW08T,-72.8037,44.8303,610,July,4.75,68.5
NW08T,-72.8037,44.8303,610,August,4.48,66.9
NW08T,-72.8037,44.8303,610,September,4.26,59.6
NW08T,-72.8037,44.8303,610,October,4.59,47.5
NW08T,-72.8037,44.8303,610,November,3.48,35.9
NW08T,-72.8037,44.8303,610,December,3.52,24.3
NW08T,-72.8037,44.8303,610,Annual,45.48,43.9
,,,,,,
NW11C,-73.1077,44.8288,340,January,2.31,17.7
NW11C,-73.1077,44.8288,340,February,2.01,19.9
NW11C,-73.1077,44.8288,340,March,2.47,29.4
NW11C,-73.1077,44.8288,340,April,3.25,43.3
NW11C,-73.1077,44.8288,340,May,3.65,56.4
NW11C,-73.1077,44.8288,340,June,4.32,65.2
NW11C,-73.1077,44.8288,340,July,4.09,70.1
NW11C,-73.1077,44.8288,340,August,3.89,68.5
NW11C,-73.1077,44.8288,340,September,3.75,60.9
NW11C,-73.1077,44.8288,340,October,3.97,48.6
NW11C,-73.1077,44.8288,340,November,2.99,37.2
NW11C,-73.1077,44.8288,340,December,2.84,25.7
NW11C,-73.1077,44.8288,340,Annual,39.54,45.2
,,,,,,
NW11T,-73.1038,44.8308,340,January,2.32,17.7
NW11T,-73.1038,44.8308,340,February,2.01,19.9
NW11T,-73.1038,44.8308,340,March,2.48,29.4
NW11T,-73.1038,44.8308,340,April,3.25,43.3
NW11T,-73.1038,44.8308,340,May,3.65,56.4
NW11T,-73.1038,44.8308,340,June,4.31,65.2
NW11T,-73.1038,44.8308,340,July,4.09,70.1
NW11T,-73.1038,44.8308,340,August,3.9,68.5
NW11T,-73.1038,44.8308,340,September,3.75,60.9
NW11T,-73.1038,44.8308,340,October,3.98,48.6
NW11T,-73.1038,44.8308,340,November,2.99,37.2
NW11T,-73.1038,44.8308,340,December,2.84,25.7
NW11T,-73.1038,44.8308,340,Annual,39.58,45.2
,,,,,,
PM3,-73.1643,43.3118,736,January,3.41,20.8
PM3,-73.1643,43.3118,736,February,2.93,22.7
PM3,-73.1643,43.3118,736,March,3.52,31.5
PM3,-73.1643,43.3118,736,April,3.71,44.4
PM3,-73.1643,43.3118,736,May,4.09,56
PM3,-73.1643,43.3118,736,June,4.7,64.6
PM3,-73.1643,43.3118,736,July,4.77,69.1
PM3,-73.1643,43.3118,736,August,4.36,67.3
PM3,-73.1643,43.3118,736,September,3.94,60.1
PM3,-73.1643,43.3118,736,October,4.74,48.4
PM3,-73.1643,43.3118,736,November,3.58,37.6
PM3,-73.1643,43.3118,736,December,4.32,27.5
PM3,-73.1643,43.3118,736,Annual,48.05,45.8
,,,,,,
D2,-73.2677,44.2918,167,January,2.22,19.7
D2,-73.2677,44.2918,167,February,1.81,21.7
D2,-73.2677,44.2918,167,March,2.33,31
D2,-73.2677,44.2918,167,April,2.91,44.5
D2,-73.2677,44.2918,167,May,3.34,57.2
D2,-73.2677,44.2918,167,June,4.16,66.3
D2,-73.2677,44.2918,167,July,4.01,71.3
D2,-73.2677,44.2918,167,August,3.51,69.8
D2,-73.2677,44.2918,167,September,3.25,62
D2,-73.2677,44.2918,167,October,3.5,49.6
D2,-73.2677,44.2918,167,November,2.76,38.5
D2,-73.2677,44.2918,167,December,2.69,27.4
D2,-73.2677,44.2918,167,Annual,36.49,46.6
,,,,,,
LC1,-72.8399,44.9836,540,January,2.77,16.2
LC1,-72.8399,44.9836,540,February,2.26,18.5
LC1,-72.8399,44.9836,540,March,2.9,28.1
LC1,-72.8399,44.9836,540,April,3.33,42.3
LC1,-72.8399,44.9836,540,May,3.9,55.2
LC1,-72.8399,44.9836,540,June,4.4,64
LC1,-72.8399,44.9836,540,July,4.55,68.5
LC1,-72.8399,44.9836,540,August,4.39,67
LC1,-72.8399,44.9836,540,September,4.14,59.6
LC1,-72.8399,44.9836,540,October,4.35,47.6
LC1,-72.8399,44.9836,540,November,3.31,36
LC1,-72.8399,44.9836,540,December,3.27,24.2
LC1,-72.8399,44.9836,540,Annual,43.58,43.9
,,,,,,
LC10,-72.8373,44.9774,659,January,2.74,15.8
LC10,-72.8373,44.9774,659,February,2.24,18.1
LC10,-72.8373,44.9774,659,March,2.88,27.7
LC10,-72.8373,44.9774,659,April,3.32,41.9
LC10,-72.8373,44.9774,659,May,3.89,54.8
LC10,-72.8373,44.9774,659,June,4.39,63.5
LC10,-72.8373,44.9774,659,July,4.56,67.9
LC10,-72.8373,44.9774,659,August,4.4,66.5
LC10,-72.8373,44.9774,659,September,4.17,59.1
LC10,-72.8373,44.9774,659,October,4.36,47.1
LC10,-72.8373,44.9774,659,November,3.3,35.6
LC10,-72.8373,44.9774,659,December,3.27,23.6
LC10,-72.8373,44.9774,659,Annual,43.53,43.5
,,,,,,
LC11,-72.8356,44.9945,483,January,2.8,16.4
LC11,-72.8356,44.9945,483,February,2.3,18.7
LC11,-72.8356,44.9945,483,March,2.93,28.3
LC11,-72.8356,44.9945,483,April,3.37,42.5
LC11,-72.8356,44.9945,483,May,3.92,55.5
LC11,-72.8356,44.9945,483,June,4.43,64.2
LC11,-72.8356,44.9945,483,July,4.57,68.8
LC11,-72.8356,44.9945,483,August,4.41,67.3
LC11,-72.8356,44.9945,483,September,4.13,59.8
LC11,-72.8356,44.9945,483,October,4.36,47.9
LC11,-72.8356,44.9945,483,November,3.34,36.2
LC11,-72.8356,44.9945,483,December,3.31,24.4
LC11,-72.8356,44.9945,483,Annual,43.87,44.2
,,,,,,
LC12,-72.8529,44.9779,500,January,2.75,16.5
LC12,-72.8529,44.9779,500,February,2.24,18.8
LC12,-72.8529,44.9779,500,March,2.87,28.4
LC12,-72.8529,44.9779,500,April,3.31,42.6
LC12,-72.8529,44.9779,500,May,3.88,55.4
LC12,-72.8529,44.9779,500,June,4.39,64.2
LC12,-72.8529,44.9779,500,July,4.53,68.8
LC12,-72.8529,44.9779,500,August,4.38,67.2
LC12,-72.8529,44.9779,500,September,4.13,59.9
LC12,-72.8529,44.9779,500,October,4.32,47.9
LC12,-72.8529,44.9779,500,November,3.3,36.1
LC12,-72.8529,44.9779,500,December,3.26,24.4
LC12,-72.8529,44.9779,500,Annual,43.35,44.2
,,,,,,
LC14,-72.8926,44.9443,471,January,2.68,16.6
LC14,-72.8926,44.9443,471,February,2.19,18.9
LC14,-72.8926,44.9443,471,March,2.78,28.5
LC14,-72.8926,44.9443,471,April,3.27,42.7
LC14,-72.8926,44.9443,471,May,3.87,55.7
LC14,-72.8926,44.9443,471,June,4.34,64.4
LC14,-72.8926,44.9443,471,July,4.48,69
LC14,-72.8926,44.9443,471,August,4.32,67.5
LC14,-72.8926,44.9443,471,September,4.09,60.1
LC14,-72.8926,44.9443,471,October,4.24,48
LC14,-72.8926,44.9443,471,November,3.21,36.4
LC14,-72.8926,44.9443,471,December,3.2,24.6
LC14,-72.8926,44.9443,471,Annual,42.66,44.4
,,,,,,
LC15,-72.9117,44.9511,573,January,2.77,16.2
LC15,-72.9117,44.9511,573,February,2.25,18.6
LC15,-72.9117,44.9511,573,March,2.82,28.1
LC15,-72.9117,44.9511,573,April,3.33,42.4
LC15,-72.9117,44.9511,573,May,3.89,55.3
LC15,-72.9117,44.9511,573,June,4.38,64
LC15,-72.9117,44.9511,573,July,4.51,68.5
LC15,-72.9117,44.9511,573,August,4.36,67
LC15,-72.9117,44.9511,573,September,4.09,59.7
LC15,-72.9117,44.9511,573,October,4.29,47.6
LC15,-72.9117,44.9511,573,November,3.31,36.1
LC15,-72.9117,44.9511,573,December,3.31,24.1
LC15,-72.9117,44.9511,573,Annual,43.3,44
,,,,,,
LC16,-72.841,44.9912,449,January,2.8,16.6
LC16,-72.841,44.9912,449,February,2.29,18.8
LC16,-72.841,44.9912,449,March,2.92,28.4
LC16,-72.841,44.9912,449,April,3.35,42.6
LC16,-72.841,44.9912,449,May,3.91,55.6
LC16,-72.841,44.9912,449,June,4.42,64.4
LC16,-72.841,44.9912,449,July,4.55,68.9
LC16,-72.841,44.9912,449,August,4.4,67.4
LC16,-72.841,44.9912,449,September,4.12,59.9
LC16,-72.841,44.9912,449,October,4.33,48
LC16,-72.841,44.9912,449,November,3.34,36.3
LC16,-72.841,44.9912,449,December,3.28,24.5
LC16,-72.841,44.9912,449,Annual,43.7,44.3
,,,,,,
LC17,-72.841,44.9818,554,January,2.76,16.2
LC17,-72.841,44.9818,554,February,2.26,18.4
LC17,-72.841,44.9818,554,March,2.89,28.1
LC17,-72.841,44.9818,554,April,3.33,42.3
LC17,-72.841,44.9818,554,May,3.9,55.2
LC17,-72.841,44.9818,554,June,4.4,63.9
LC17,-72.841,44.9818,554,July,4.55,68.5
LC17,-72.841,44.9818,554,August,4.39,66.9
LC17,-72.841,44.9818,554,September,4.15,59.5
LC17,-72.841,44.9818,554,October,4.35,47.6
LC17,-72.841,44.9818,554,November,3.31,36
LC17,-72.841,44.9818,554,December,3.27,24.1
LC17,-72.841,44.9818,554,Annual,43.57,43.9
,,,,,,
LC18,-72.8939,44.9692,519,January,2.79,16.4
LC18,-72.8939,44.9692,519,February,2.27,18.7
LC18,-72.8939,44.9692,519,March,2.85,28.3
LC18,-72.8939,44.9692,519,April,3.34,42.5
LC18,-72.8939,44.9692,519,May,3.88,55.4
LC18,-72.8939,44.9692,519,June,4.39,64.2
LC18,-72.8939,44.9692,519,July,4.49,68.7
LC18,-72.8939,44.9692,519,August,4.36,67.2
LC18,-72.8939,44.9692,519,September,4.07,59.8
LC18,-72.8939,44.9692,519,October,4.28,47.8
LC18,-72.8939,44.9692,519,November,3.3,36.3
LC18,-72.8939,44.9692,519,December,3.29,24.3
LC18,-72.8939,44.9692,519,Annual,43.32,44.1
,,,,,,
LC19,-72.9033,44.9491,511,January,2.74,16.5
LC19,-72.9033,44.9491,511,February,2.23,18.8
LC19,-72.9033,44.9491,511,March,2.81,28.3
LC19,-72.9033,44.9491,511,April,3.31,42.6
LC19,-72.9033,44.9491,511,May,3.88,55.5
LC19,-72.9033,44.9491,511,June,4.37,64.3
LC19,-72.9033,44.9491,511,July,4.49,68.8
LC19,-72.9033,44.9491,511,August,4.34,67.2
LC19,-72.9033,44.9491,511,September,4.08,59.9
LC19,-72.9033,44.9491,511,October,4.27,47.8
LC19,-72.9033,44.9491,511,November,3.27,36.3
LC19,-72.9033,44.9491,511,December,3.26,24.4
LC19,-72.9033,44.9491,511,Annual,43.04,44.2
,,,,,,
LC4,-72.88,44.9889,488,January,2.84,16.5
LC4,-72.88,44.9889,488,February,2.31,18.8
LC4,-72.88,44.9889,488,March,2.89,28.4
LC4,-72.88,44.9889,488,April,3.37,42.6
LC4,-72.88,44.9889,488,May,3.88,55.5
LC4,-72.88,44.9889,488,June,4.43,64.3
LC4,-72.88,44.9889,488,July,4.5,68.8
LC4,-72.88,44.9889,488,August,4.37,67.2
LC4,-72.88,44.9889,488,September,4.05,59.9
LC4,-72.88,44.9889,488,October,4.28,47.9
LC4,-72.88,44.9889,488,November,3.34,36.2
LC4,-72.88,44.9889,488,December,3.33,24.4
LC4,-72.88,44.9889,488,Annual,43.59,44.2
,,,,,,
LC5,-72.9161,44.9582,701,January,2.8,15.9
LC5,-72.9161,44.9582,701,February,2.28,18.4
LC5,-72.9161,44.9582,701,March,2.84,27.9
LC5,-72.9161,44.9582,701,April,3.36,42.1
LC5,-72.9161,44.9582,701,May,3.9,55
LC5,-72.9161,44.9582,701,June,4.4,63.7
LC5,-72.9161,44.9582,701,July,4.52,68.1
LC5,-72.9161,44.9582,701,August,4.39,66.6
LC5,-72.9161,44.9582,701,September,4.09,59.4
LC5,-72.9161,44.9582,701,October,4.31,47.3
LC5,-72.9161,44.9582,701,November,3.34,35.9
LC5,-72.9161,44.9582,701,December,3.36,23.7
LC5,-72.9161,44.9582,701,Annual,43.58,43.7
,,,,,,
LC6,-72.9014,44.948,502,January,2.73,16.5
LC6,-72.9014,44.948,502,February,2.22,18.8
LC6,-72.9014,44.948,502,March,2.81,28.4
LC6,-72.9014,44.948,502,April,3.31,42.6
LC6,-72.9014,44.948,502,May,3.88,55.5
LC6,-72.9014,44.948,502,June,4.36,64.3
LC6,-72.9014,44.948,502,July,4.49,68.9
LC6,-72.9014,44.948,502,August,4.34,67.3
LC6,-72.9014,44.948,502,September,4.08,59.9
LC6,-72.9014,44.948,502,October,4.27,47.9
LC6,-72.9014,44.948,502,November,3.26,36.3
LC6,-72.9014,44.948,502,December,3.25,24.4
LC6,-72.9014,44.948,502,Annual,43,44.2
,,,,,,
LC8,-72.8438,44.9541,681,January,2.65,15.8
LC8,-72.8438,44.9541,681,February,2.16,18.3
LC8,-72.8438,44.9541,681,March,2.81,27.8
LC8,-72.8438,44.9541,681,April,3.26,42
LC8,-72.8438,44.9541,681,May,3.86,54.8
LC8,-72.8438,44.9541,681,June,4.35,63.6
LC8,-72.8438,44.9541,681,July,4.55,67.9
LC8,-72.8438,44.9541,681,August,4.39,66.5
LC8,-72.8438,44.9541,681,September,4.22,59.2
LC8,-72.8438,44.9541,681,October,4.37,47.2
LC8,-72.8438,44.9541,681,November,3.25,35.5
LC8,-72.8438,44.9541,681,December,3.2,23.5
LC8,-72.8438,44.9541,681,Annual,43.09,43.5
,,,,,,
NW24C,-73.0447,44.89,330,January,2.53,17.4
NW24C,-73.0447,44.89,330,February,2.13,19.6
NW24C,-73.0447,44.89,330,March,2.62,29.2
NW24C,-73.0447,44.89,330,April,3.29,43.2
NW24C,-73.0447,44.89,330,May,3.75,56.3
NW24C,-73.0447,44.89,330,June,4.33,65.2
NW24C,-73.0447,44.89,330,July,4.22,70
NW24C,-73.0447,44.89,330,August,4.04,68.3
NW24C,-73.0447,44.89,330,September,3.83,60.9
NW24C,-73.0447,44.89,330,October,4.1,48.6
NW24C,-73.0447,44.89,330,November,3.1,37
NW24C,-73.0447,44.89,330,December,3.03,25.5
NW24C,-73.0447,44.89,330,Annual,40.97,45.1
,,,,,,
NW24T,-73.0668,44.8614,381,January,2.42,17.4
NW24T,-73.0668,44.8614,381,February,2.07,19.7
NW24T,-73.0668,44.8614,381,March,2.57,29.1
NW24T,-73.0668,44.8614,381,April,3.29,43.1
NW24T,-73.0668,44.8614,381,May,3.69,56.2
NW24T,-73.0668,44.8614,381,June,4.32,65
NW24T,-73.0668,44.8614,381,July,4.14,69.8
NW24T,-73.0668,44.8614,381,August,3.97,68.2
NW24T,-73.0668,44.8614,381,September,3.84,60.7
NW24T,-73.0668,44.8614,381,October,4.05,48.4
NW24T,-73.0668,44.8614,381,November,3.08,37
NW24T,-73.0668,44.8614,381,December,2.95,25.4
NW24T,-73.0668,44.8614,381,Annual,40.4,45
,,,,,,
EL2,-73.2839,43.7112,262,January,2.47,20.4
EL2,-73.2839,43.7112,262,February,2.03,22.5
EL2,-73.2839,43.7112,262,March,2.64,32
EL2,-73.2839,43.7112,262,April,3.14,45.2
EL2,-73.2839,43.7112,262,May,3.55,57.1
EL2,-73.2839,43.7112,262,June,4.05,66.5
EL2,-73.2839,43.7112,262,July,4.16,71.2
EL2,-73.2839,43.7112,262,August,3.88,69.5
EL2,-73.2839,43.7112,262,September,3.34,61.8
EL2,-73.2839,43.7112,262,October,3.95,49.3
EL2,-73.2839,43.7112,262,November,2.88,38
EL2,-73.2839,43.7112,262,December,3.1,27.3
EL2,-73.2839,43.7112,262,Annual,39.17,46.7
,,,,,,
NW14C,-73.1714,44.822,123,January,2.25,18.3
NW14C,-73.1714,44.822,123,February,1.95,20.6
NW14C,-73.1714,44.822,123,March,2.37,30.1
NW14C,-73.1714,44.822,123,April,3.19,43.9
NW14C,-73.1714,44.822,123,May,3.65,57.1
NW14C,-73.1714,44.822,123,June,4.34,65.9
NW14C,-73.1714,44.822,123,July,4.11,70.8
NW14C,-73.1714,44.822,123,August,3.86,69.3
NW14C,-73.1714,44.822,123,September,3.58,61.8
NW14C,-73.1714,44.822,123,October,3.89,49.3
NW14C,-73.1714,44.822,123,November,2.87,37.8
NW14C,-73.1714,44.822,123,December,2.74,26.4
NW14C,-73.1714,44.822,123,Annual,38.8,45.9
,,,,,,
NW14T,-73.1728,44.8208,120,January,2.24,18.3
NW14T,-73.1728,44.8208,120,February,1.95,20.6
NW14T,-73.1728,44.8208,120,March,2.37,30.1
NW14T,-73.1728,44.8208,120,April,3.19,43.9
NW14T,-73.1728,44.8208,120,May,3.65,57.1
NW14T,-73.1728,44.8208,120,June,4.35,65.9
NW14T,-73.1728,44.8208,120,July,4.11,70.8
NW14T,-73.1728,44.8208,120,August,3.86,69.4
NW14T,-73.1728,44.8208,120,September,3.58,61.8
NW14T,-73.1728,44.8208,120,October,3.89,49.3
NW14T,-73.1728,44.8208,120,November,2.87,37.8
NW14T,-73.1728,44.8208,120,December,2.74,26.5
NW14T,-73.1728,44.8208,120,Annual,38.79,46
,,,,,,
NW18C,-73.0231,44.9567,272,January,2.75,17.2
NW18C,-73.0231,44.9567,272,February,2.24,19.4
NW18C,-73.0231,44.9567,272,March,2.72,29.2
NW18C,-73.0231,44.9567,272,April,3.33,43.2
NW18C,-73.0231,44.9567,272,May,3.86,56.4
NW18C,-73.0231,44.9567,272,June,4.37,65.2
NW18C,-73.0231,44.9567,272,July,4.29,69.9
NW18C,-73.0231,44.9567,272,August,4.13,68.3
NW18C,-73.0231,44.9567,272,September,3.83,60.8
NW18C,-73.0231,44.9567,272,October,4.17,48.5
NW18C,-73.0231,44.9567,272,November,3.17,37
NW18C,-73.0231,44.9567,272,December,3.19,25.3
NW18C,-73.0231,44.9567,272,Annual,42.06,45
,,,,,,
NW18T,-73.0326,44.9604,274,January,2.75,17.2
NW18T,-73.0326,44.9604,274,February,2.24,19.4
NW18T,-73.0326,44.9604,274,March,2.72,29.2
NW18T,-73.0326,44.9604,274,April,3.33,43.2
NW18T,-73.0326,44.9604,274,May,3.87,56.4
NW18T,-73.0326,44.9604,274,June,4.38,65.2
NW18T,-73.0326,44.9604,274,July,4.29,69.9
NW18T,-73.0326,44.9604,274,August,4.13,68.3
NW18T,-73.0326,44.9604,274,September,3.83,60.8
NW18T,-73.0326,44.9604,274,October,4.18,48.5
NW18T,-73.0326,44.9604,274,November,3.17,37
NW18T,-73.0326,44.9604,274,December,3.19,25.3
NW18T,-73.0326,44.9604,274,Annual,42.09,45
,,,,,,
NW15C,-72.9213,44.9764,518,January,2.88,16.5
NW15C,-72.9213,44.9764,518,February,2.32,18.8
NW15C,-72.9213,44.9764,518,March,2.86,28.3
NW15C,-72.9213,44.9764,518,April,3.37,42.4
NW15C,-72.9213,44.9764,518,May,3.89,55.4
NW15C,-72.9213,44.9764,518,June,4.42,64.2
NW15C,-72.9213,44.9764,518,July,4.48,68.8
NW15C,-72.9213,44.9764,518,August,4.36,67.2
NW15C,-72.9213,44.9764,518,September,4.03,59.8
NW15C,-72.9213,44.9764,518,October,4.28,47.8
NW15C,-72.9213,44.9764,518,November,3.34,36.4
NW15C,-72.9213,44.9764,518,December,3.35,24.4
NW15C,-72.9213,44.9764,518,Annual,43.58,44.2
,,,,,,
NW15T,-72.9208,44.978,504,January,2.89,16.5
NW15T,-72.9208,44.978,504,February,2.32,18.9
NW15T,-72.9208,44.978,504,March,2.86,28.4
NW15T,-72.9208,44.978,504,April,3.37,42.5
NW15T,-72.9208,44.978,504,May,3.89,55.5
NW15T,-72.9208,44.978,504,June,4.42,64.2
NW15T,-72.9208,44.978,504,July,4.48,68.8
NW15T,-72.9208,44.978,504,August,4.36,67.2
NW15T,-72.9208,44.978,504,September,4.03,59.9
NW15T,-72.9208,44.978,504,October,4.27,47.8
NW15T,-72.9208,44.978,504,November,3.34,36.4
NW15T,-72.9208,44.978,504,December,3.35,24.4
NW15T,-72.9208,44.978,504,Annual,43.57,44.2
,,,,,,
NW16C,-73.0744,44.8802,344,January,2.48,17.4
NW16C,-73.0744,44.8802,344,February,2.09,19.6
NW16C,-73.0744,44.8802,344,March,2.58,29.1
NW16C,-73.0744,44.8802,344,April,3.27,43.1
NW16C,-73.0744,44.8802,344,May,3.71,56.3
NW16C,-73.0744,44.8802,344,June,4.32,65.1
NW16C,-73.0744,44.8802,344,July,4.17,69.9
NW16C,-73.0744,44.8802,344,August,3.98,68.3
NW16C,-73.0744,44.8802,344,September,3.78,60.8
NW16C,-73.0744,44.8802,344,October,4.05,48.5
NW16C,-73.0744,44.8802,344,November,3.06,37
NW16C,-73.0744,44.8802,344,December,2.97,25.4
NW16C,-73.0744,44.8802,344,Annual,40.47,45
,,,,,,
NW16T,-73.0759,44.8789,337,January,2.47,17.4
NW16T,-73.0759,44.8789,337,February,2.08,19.6
NW16T,-73.0759,44.8789,337,March,2.57,29.2
NW16T,-73.0759,44.8789,337,April,3.26,43.2
NW16T,-73.0759,44.8789,337,May,3.71,56.3
NW16T,-73.0759,44.8789,337,June,4.32,65.2
NW16T,-73.0759,44.8789,337,July,4.16,70
NW16T,-73.0759,44.8789,337,August,3.98,68.3
NW16T,-73.0759,44.8789,337,September,3.77,60.8
NW16T,-73.0759,44.8789,337,October,4.04,48.5
NW16T,-73.0759,44.8789,337,November,3.05,37
NW16T,-73.0759,44.8789,337,December,2.96,25.5
NW16T,-73.0759,44.8789,337,Annual,40.37,45.1
,,,,,,
NW04C,-72.8139,44.9818,545,January,2.77,16.2
NW04C,-72.8139,44.9818,545,February,2.29,18.5
NW04C,-72.8139,44.9818,545,March,2.94,28.1
NW04C,-72.8139,44.9818,545,April,3.39,42.3
NW04C,-72.8139,44.9818,545,May,3.94,55.2
NW04C,-72.8139,44.9818,545,June,4.43,64
NW04C,-72.8139,44.9818,545,July,4.62,68.5
NW04C,-72.8139,44.9818,545,August,4.43,67
NW04C,-72.8139,44.9818,545,September,4.21,59.6
NW04C,-72.8139,44.9818,545,October,4.41,47.6
NW04C,-72.8139,44.9818,545,November,3.33,36
NW04C,-72.8139,44.9818,545,December,3.33,24.2
NW04C,-72.8139,44.9818,545,Annual,44.08,43.9
,,,,,,
NW04H,-72.8122,44.9823,558,January,2.78,16.2
NW04H,-72.8122,44.9823,558,February,2.3,18.4
NW04H,-72.8122,44.9823,558,March,2.95,28.1
NW04H,-72.8122,44.9823,558,April,3.4,42.3
NW04H,-72.8122,44.9823,558,May,3.95,55.2
NW04H,-72.8122,44.9823,558,June,4.43,63.9
NW04H,-72.8122,44.9823,558,July,4.62,68.4
NW04H,-72.8122,44.9823,558,August,4.43,66.9
NW04H,-72.8122,44.9823,558,September,4.21,59.5
NW04H,-72.8122,44.9823,558,October,4.42,47.5
NW04H,-72.8122,44.9823,558,November,3.33,35.9
NW04H,-72.8122,44.9823,558,December,3.33,24.1
NW04H,-72.8122,44.9823,558,Annual,44.15,43.9
,,,,,,
NW04T,-72.8139,44.9818,545,January,2.77,16.2
NW04T,-72.8139,44.9818,545,February,2.29,18.5
NW04T,-72.8139,44.9818,545,March,2.94,28.1
NW04T,-72.8139,44.9818,545,April,3.39,42.3
NW04T,-72.8139,44.9818,545,May,3.94,55.2
NW04T,-72.8139,44.9818,545,June,4.43,64
NW04T,-72.8139,44.9818,545,July,4.62,68.5
NW04T,-72.8139,44.9818,545,August,4.43,67
NW04T,-72.8139,44.9818,545,September,4.21,59.6
NW04T,-72.8139,44.9818,545,October,4.41,47.6
NW04T,-72.8139,44.9818,545,November,3.33,36
NW04T,-72.8139,44.9818,545,December,3.33,24.2
NW04T,-72.8139,44.9818,545,Annual,44.08,43.9
,,,,,,
MC01,-73.2559,44.3668,169,January,2.21,19.5
MC01,-73.2559,44.3668,169,February,1.8,21.5
MC01,-73.2559,44.3668,169,March,2.37,30.8
MC01,-73.2559,44.3668,169,April,2.87,44.4
MC01,-73.2559,44.3668,169,May,3.34,57.1
MC01,-73.2559,44.3668,169,June,4.23,66.2
MC01,-73.2559,44.3668,169,July,4.06,71.3
MC01,-73.2559,44.3668,169,August,3.46,69.7
MC01,-73.2559,44.3668,169,September,3.34,62
MC01,-73.2559,44.3668,169,October,3.5,49.5
MC01,-73.2559,44.3668,169,November,2.8,38.4
MC01,-73.2559,44.3668,169,December,2.69,27.2
MC01,-73.2559,44.3668,169,Annual,36.67,46.5
,,,,,,
MC02,-73.2607,44.3545,167,January,2.22,19.5
MC02,-73.2607,44.3545,167,February,1.8,21.5
MC02,-73.2607,44.3545,167,March,2.37,30.8
MC02,-73.2607,44.3545,167,April,2.87,44.4
MC02,-73.2607,44.3545,167,May,3.33,57.1
MC02,-73.2607,44.3545,167,June,4.22,66.2
MC02,-73.2607,44.3545,167,July,4.07,71.3
MC02,-73.2607,44.3545,167,August,3.47,69.7
MC02,-73.2607,44.3545,167,September,3.3,62
MC02,-73.2607,44.3545,167,October,3.49,49.6
MC02,-73.2607,44.3545,167,November,2.8,38.4
